id_rna,celltype,batch
cell_001,type_1,pseudo_batch
cell_002,type_2,pseudo_batch
cell_003,type_3,pseudo_batch
cell_004,type_4,pseudo_batch
cell_005,type_1,pseudo_batch
cell_006,type_2,pseudo_batch
cell_007,type_3,pseudo_batch
cell_008,type_4,pseudo_batch
cell_009,type_1,pseudo_batch
cell_010,type_2,pseudo_batch
cell_011,type_3,pseudo_batch
cell_012,type_4,pseudo_batch
cell_013,type_1,pseudo_batch
cell_014,type_2,pseudo_batch
cell_015,type_3,pseudo_batch
cell_016,type_4,pseudo_batch
cell_017,type_1,pseudo_batch
cell_018,type_2,pseudo_batch
cell_019,type_3,pseudo_batch
cell_020,type_4,pseudo_batch
cell_021,type_1,pseudo_batch
cell_022,type_2,pseudo_batch
cell_023,type_3,pseudo_batch
cell_024,type_4,pseudo_batch
cell_025,type_1,pseudo_batch
cell_026,type_2,pseudo_batch
cell_027,type_3,pseudo_batch
cell_028,type_4,pseudo_batch
cell_029,type_1,pseudo_batch
cell_030,type_2,pseudo_batch
cell_031,type_3,pseudo_batch
cell_032,type_4,pseudo_batch
cell_033,type_1,pseudo_batch
cell_034,type_2,pseudo_batch
cell_035,type_3,pseudo_batch
cell_036,type_4,pseudo_batch
cell_037,type_1,pseudo_batch
cell_038,type_2,pseudo_batch
cell_039,type_3,pseudo_batch
cell_040,type_4,pseudo_batch
cell_041,type_1,pseudo_batch
cell_042,type_2,pseudo_batch
cell_043,type_3,pseudo_batch
cell_044,type_4,pseudo_batch
cell_045,type_1,pseudo_batch
cell_046,type_2,pseudo_batch
cell_047,type_3,pseudo_batch
cell_048,type_4,pseudo_batch
cell_049,type_1,pseudo_batch
cell_050,type_2,pseudo_batch
cell_051,type_3,pseudo_batch
cell_052,type_4,pseudo_batch
cell_053,type_1,pseudo_batch
cell_054,type_2,pseudo_batch
cell_055,type_3,pseudo_batch
cell_056,type_4,pseudo_batch
cell_057,type_1,pseudo_batch
cell_058,type_2,pseudo_batch
cell_059,type_3,pseudo_batch
cell_060,type_4,pseudo_batch
cell_061,type_1,pseudo_batch
cell_062,type_2,pseudo_batch
cell_063,type_3,pseudo_batch
cell_064,type_4,pseudo_batch
cell_065,type_1,pseudo_batch
cell_066,type_2,pseudo_batch
cell_067,type_3,pseudo_batch
cell_068,type_4,pseudo_batch
cell_069,type_1,pseudo_batch
cell_070,type_2,pseudo_batch
cell_071,type_3,pseudo_batch
cell_072,type_4,pseudo_batch
cell_073,type_1,pseudo_batch
cell_074,type_2,pseudo_batch
cell_075,type_3,pseudo_batch
cell_076,type_4,pseudo_batch
cell_077,type_1,pseudo_batch
cell_078,type_2,pseudo_batch
cell_079,type_3,pseudo_batch
cell_080,type_4,pseudo_batch
cell_081,type_1,pseudo_batch
cell_082,type_2,pseudo_batch
cell_083,type_3,pseudo_batch
cell_084,type_4,pseudo_batch
cell_085,type_1,pseudo_batch
cell_086,type_2,pseudo_batch
cell_087,type_3,pseudo_batch
cell_088,type_4,pseudo_batch
cell_089,type_1,pseudo_batch
cell_090,type_2,pseudo_batch
cell_091,type_3,pseudo_batch
cell_092,type_4,pseudo_batch
cell_093,type_1,pseudo_batch
cell_094,type_2,pseudo_batch
cell_095,type_3,pseudo_batch
cell_096,type_4,pseudo_batch
cell_097,type_1,pseudo_batch
cell_098,type_2,pseudo_batch
cell_099,type_3,pseudo_batch
cell_100,type_4,pseudo_batch
cell_101,type_1,pseudo_batch
cell_102,type_2,pseudo_batch
cell_103,type_3,pseudo_batch
cell_104,type_4,pseudo_batch
cell_105,type_1,pseudo_batch
cell_106,type_2,pseudo_batch
cell_107,type_3,pseudo_batch
cell_108,type_4,pseudo_batch
cell_109,type_1,pseudo_batch
cell_110,type_2,pseudo_batch
cell_111,type_3,pseudo_batch
cell_112,type_4,pseudo_batch
cell_113,type_1,pseudo_batch
cell_114,type_2,pseudo_batch
cell_115,type_3,pseudo_batch
cell_116,type_4,pseudo_batch
cell_117,type_1,pseudo_batch
cell_118,type_2,pseudo_batch
cell_119,type_3,pseudo_batch
cell_120,type_4,pseudo_batch
cell_121,type_1,pseudo_batch
cell_122,type_2,pseudo_batch
