"id_rna","orig.ident","nCount_RNA","nFeature_RNA","celltype"
"cell_001","cell",463,111,"type_1"
"cell_002","cell",459,112,"type_2"
"cell_003","cell",414,110,"type_3"
"cell_004","cell",464,109,"type_4"
"cell_005","cell",421,111,"type_1"
"cell_006","cell",448,110,"type_2"
"cell_007","cell",418,111,"type_3"
"cell_008","cell",465,109,"type_4"
"cell_009","cell",449,110,"type_1"
"cell_010","cell",480,114,"type_2"
"cell_011","cell",445,111,"type_3"
"cell_012","cell",429,112,"type_4"
"cell_013","cell",417,111,"type_1"
"cell_014","cell",409,109,"type_2"
"cell_015","cell",404,108,"type_3"
"cell_016","cell",425,109,"type_4"
"cell_017","cell",468,112,"type_1"
"cell_018","cell",479,108,"type_2"
"cell_019","cell",452,113,"type_3"
"cell_020","cell",440,107,"type_4"
"cell_021","cell",457,109,"type_1"
"cell_022","cell",467,109,"type_2"
"cell_023","cell",391,103,"type_3"
"cell_024","cell",475,111,"type_4"
"cell_025","cell",435,113,"type_1"
"cell_026","cell",405,107,"type_2"
"cell_027","cell",417,109,"type_3"
"cell_028","cell",412,110,"type_4"
"cell_029","cell",493,113,"type_1"
"cell_030","cell",410,109,"type_2"
"cell_031","cell",457,109,"type_3"
"cell_032","cell",439,107,"type_4"
"cell_033","cell",461,106,"type_1"
"cell_034","cell",427,111,"type_2"
"cell_035","cell",457,112,"type_3"
"cell_036","cell",458,112,"type_4"
"cell_037","cell",428,108,"type_1"
"cell_038","cell",399,113,"type_2"
"cell_039","cell",411,101,"type_3"
"cell_040","cell",425,107,"type_4"
"cell_041","cell",455,114,"type_1"
"cell_042","cell",396,111,"type_2"
"cell_043","cell",365,106,"type_3"
"cell_044","cell",462,112,"type_4"
"cell_045","cell",460,114,"type_1"
"cell_046","cell",422,113,"type_2"
"cell_047","cell",436,110,"type_3"
"cell_048","cell",470,109,"type_4"
"cell_049","cell",449,114,"type_1"
"cell_050","cell",436,111,"type_2"
"cell_051","cell",434,106,"type_3"
"cell_052","cell",433,107,"type_4"
"cell_053","cell",475,115,"type_1"
"cell_054","cell",400,108,"type_2"
"cell_055","cell",459,110,"type_3"
"cell_056","cell",431,111,"type_4"
"cell_057","cell",444,105,"type_1"
"cell_058","cell",414,112,"type_2"
"cell_059","cell",458,110,"type_3"
"cell_060","cell",421,108,"type_4"
"cell_061","cell",455,110,"type_1"
"cell_062","cell",404,110,"type_2"
"cell_063","cell",426,106,"type_3"
"cell_064","cell",445,110,"type_4"
"cell_065","cell",451,109,"type_1"
"cell_066","cell",429,114,"type_2"
"cell_067","cell",439,109,"type_3"
"cell_068","cell",434,110,"type_4"
"cell_069","cell",451,111,"type_1"
"cell_070","cell",458,112,"type_2"
"cell_071","cell",431,112,"type_3"
"cell_072","cell",441,104,"type_4"
"cell_073","cell",430,111,"type_1"
"cell_074","cell",446,113,"type_2"
"cell_075","cell",449,106,"type_3"
"cell_076","cell",434,105,"type_4"
"cell_077","cell",435,112,"type_1"
"cell_078","cell",469,110,"type_2"
"cell_079","cell",420,112,"type_3"
"cell_080","cell",428,102,"type_4"
"cell_081","cell",440,105,"type_1"
"cell_082","cell",405,110,"type_2"
"cell_083","cell",402,103,"type_3"
"cell_084","cell",466,114,"type_4"
"cell_085","cell",447,111,"type_1"
"cell_086","cell",425,112,"type_2"
"cell_087","cell",437,112,"type_3"
"cell_088","cell",431,109,"type_4"
"cell_089","cell",457,112,"type_1"
"cell_090","cell",413,110,"type_2"
"cell_091","cell",436,109,"type_3"
"cell_092","cell",462,110,"type_4"
"cell_093","cell",450,114,"type_1"
"cell_094","cell",409,109,"type_2"
"cell_095","cell",412,112,"type_3"
"cell_096","cell",467,109,"type_4"
"cell_097","cell",487,114,"type_1"
"cell_098","cell",437,111,"type_2"
"cell_099","cell",416,105,"type_3"
"cell_100","cell",437,109,"type_4"
"cell_101","cell",427,111,"type_1"
"cell_102","cell",452,115,"type_2"
"cell_103","cell",415,105,"type_3"
"cell_104","cell",458,112,"type_4"
"cell_105","cell",451,110,"type_1"
"cell_106","cell",471,111,"type_2"
"cell_107","cell",418,107,"type_3"
"cell_108","cell",440,109,"type_4"
"cell_109","cell",424,108,"type_1"
"cell_110","cell",450,114,"type_2"
"cell_111","cell",428,111,"type_3"
"cell_112","cell",435,108,"type_4"
"cell_113","cell",485,113,"type_1"
"cell_114","cell",437,110,"type_2"
"cell_115","cell",451,109,"type_3"
"cell_116","cell",450,108,"type_4"
"cell_117","cell",426,110,"type_1"
"cell_118","cell",420,107,"type_2"
"cell_119","cell",418,111,"type_3"
"cell_120","cell",431,112,"type_4"
"cell_121","cell",434,105,"type_1"
"cell_122","cell",454,114,"type_2"
"cell_123","cell",445,110,"type_3"
"cell_124","cell",460,106,"type_4"
"cell_125","cell",427,115,"type_1"
"cell_126","cell",452,112,"type_2"
"cell_127","cell",433,111,"type_3"
"cell_128","cell",443,105,"type_4"
"cell_129","cell",463,107,"type_1"
"cell_130","cell",432,110,"type_2"
"cell_131","cell",458,112,"type_3"
"cell_132","cell",416,106,"type_4"
"cell_133","cell",450,112,"type_1"
"cell_134","cell",447,113,"type_2"
"cell_135","cell",426,110,"type_3"
"cell_136","cell",445,105,"type_4"
"cell_137","cell",419,109,"type_1"
"cell_138","cell",419,109,"type_2"
"cell_139","cell",424,111,"type_3"
"cell_140","cell",460,108,"type_4"
"cell_141","cell",406,111,"type_1"
"cell_142","cell",454,112,"type_2"
"cell_143","cell",435,105,"type_3"
"cell_144","cell",461,113,"type_4"
"cell_145","cell",447,112,"type_1"
"cell_146","cell",479,113,"type_2"
"cell_147","cell",463,110,"type_3"
"cell_148","cell",447,107,"type_4"
"cell_149","cell",443,109,"type_1"
"cell_150","cell",447,112,"type_2"
"cell_151","cell",431,109,"type_3"
"cell_152","cell",465,109,"type_4"
"cell_153","cell",443,109,"type_1"
"cell_154","cell",457,109,"type_2"
"cell_155","cell",487,112,"type_3"
"cell_156","cell",432,105,"type_4"
"cell_157","cell",418,106,"type_1"
"cell_158","cell",441,110,"type_2"
"cell_159","cell",433,114,"type_3"
"cell_160","cell",445,111,"type_4"
"cell_161","cell",418,110,"type_1"
"cell_162","cell",430,111,"type_2"
"cell_163","cell",414,108,"type_3"
"cell_164","cell",436,100,"type_4"
"cell_165","cell",437,111,"type_1"
"cell_166","cell",441,108,"type_2"
"cell_167","cell",384,107,"type_3"
"cell_168","cell",450,102,"type_4"
"cell_169","cell",467,108,"type_1"
"cell_170","cell",430,114,"type_2"
"cell_171","cell",426,111,"type_3"
"cell_172","cell",470,114,"type_4"
"cell_173","cell",455,117,"type_1"
"cell_174","cell",454,113,"type_2"
"cell_175","cell",443,112,"type_3"
"cell_176","cell",432,108,"type_4"
"cell_177","cell",461,117,"type_1"
"cell_178","cell",455,116,"type_2"
"cell_179","cell",419,107,"type_3"
"cell_180","cell",448,108,"type_4"
