"id_st","orig.ident","nCount_Spatial","nFeature_Spatial","x","y","region"
"spot_001","spot",434,113,0,0,"region_1"
"spot_002","spot",427,109,10,0,"region_2"
"spot_003","spot",443,106,20,0,"region_3"
"spot_004","spot",446,106,30,0,"region_4"
"spot_005","spot",455,114,40,0,"region_1"
"spot_006","spot",430,111,50,0,"region_2"
"spot_007","spot",381,104,60,0,"region_3"
"spot_008","spot",429,110,70,0,"region_4"
"spot_009","spot",447,112,80,0,"region_1"
"spot_010","spot",454,117,90,0,"region_2"
"spot_011","spot",437,115,0,10,"region_3"
"spot_012","spot",462,106,10,10,"region_4"
"spot_013","spot",425,109,20,10,"region_1"
"spot_014","spot",413,109,30,10,"region_2"
"spot_015","spot",390,112,40,10,"region_3"
"spot_016","spot",407,111,50,10,"region_4"
"spot_017","spot",446,115,60,10,"region_1"
"spot_018","spot",445,113,70,10,"region_2"
"spot_019","spot",421,105,80,10,"region_3"
"spot_020","spot",434,112,90,10,"region_4"
"spot_021","spot",432,106,0,20,"region_1"
"spot_022","spot",449,111,10,20,"region_2"
"spot_023","spot",419,110,20,20,"region_3"
"spot_024","spot",434,106,30,20,"region_4"
"spot_025","spot",453,114,40,20,"region_1"
"spot_026","spot",415,109,50,20,"region_2"
"spot_027","spot",449,109,60,20,"region_3"
"spot_028","spot",449,108,70,20,"region_4"
"spot_029","spot",428,109,80,20,"region_1"
"spot_030","spot",415,110,90,20,"region_2"
"spot_031","spot",453,110,0,30,"region_3"
"spot_032","spot",404,104,10,30,"region_4"
"spot_033","spot",438,113,20,30,"region_1"
"spot_034","spot",418,104,30,30,"region_2"
"spot_035","spot",393,107,40,30,"region_3"
"spot_036","spot",414,110,50,30,"region_4"
"spot_037","spot",448,112,60,30,"region_1"
"spot_038","spot",439,113,70,30,"region_2"
"spot_039","spot",441,109,80,30,"region_3"
"spot_040","spot",441,105,90,30,"region_4"
"spot_041","spot",453,114,0,40,"region_1"
"spot_042","spot",474,110,10,40,"region_2"
"spot_043","spot",453,112,20,40,"region_3"
"spot_044","spot",429,109,30,40,"region_4"
"spot_045","spot",479,114,40,40,"region_1"
"spot_046","spot",466,110,50,40,"region_2"
"spot_047","spot",431,108,60,40,"region_3"
"spot_048","spot",430,109,70,40,"region_4"
"spot_049","spot",476,115,80,40,"region_1"
"spot_050","spot",438,106,90,40,"region_2"
"spot_051","spot",434,115,0,50,"region_3"
"spot_052","spot",434,107,10,50,"region_4"
"spot_053","spot",458,111,20,50,"region_1"
