"id_st","id_rna","dist","neighbor_rank","cluster_rna"
"spot_001","cell_041",2.627032995224,1,"type_1"
"spot_002","cell_050",2.07460880279541,1,"type_2"
"spot_003","cell_087",2.13444542884827,1,"type_3"
"spot_004","cell_004",1.70145416259766,1,"type_4"
"spot_005","cell_089",1.75072073936462,1,"type_1"
"spot_006","cell_174",2.69977593421936,1,"type_2"
"spot_007","cell_155",1.06949985027313,1,"type_3"
"spot_008","cell_160",1.97917115688324,1,"type_4"
"spot_009","cell_021",2.38111066818237,1,"type_1"
"spot_010","cell_066",1.59678971767426,1,"type_2"
"spot_011","cell_027",1.96672463417053,2,"type_3"
"spot_012","cell_148",2.79747271537781,1,"type_4"
"spot_013","cell_133",1.77486205101013,2,"type_1"
"spot_014","cell_098",2.72289657592773,2,"type_2"
"spot_015","cell_111",2.3452160358429,2,"type_3"
"spot_016","cell_048",2.06923604011536,1,"type_4"
"spot_017","cell_009",1.52080917358398,1,"type_1"
"spot_018","cell_074",2.25326609611511,2,"type_2"
"spot_019","cell_115",2.1622052192688,1,"type_3"
"spot_020","cell_072",1.59993541240692,1,"type_4"
"spot_021","cell_177",1.85693907737732,1,"type_1"
"spot_022","cell_178",2.25344228744507,3,"type_2"
"spot_023","cell_079",1.9868460893631,2,"type_3"
"spot_024","cell_016",2.11019206047058,1,"type_4"
"spot_025","cell_045",2.16183567047119,2,"type_1"
"spot_026","cell_046",2.92555332183838,2,"type_2"
"spot_027","cell_011",2.47685623168945,2,"type_3"
"spot_028","cell_068",1.60913777351379,1,"type_4"
"spot_029","cell_093",1.7048556804657,1,"type_1"
"spot_030","cell_110",2.50097393989563,1,"type_2"
"spot_031","cell_139",1.42609655857086,1,"type_3"
"spot_032","cell_128",1.3801246881485,1,"type_4"
"spot_033","cell_097",2.07410669326782,1,"type_1"
"spot_034","cell_142",2.58819651603699,1,"type_2"
"spot_035","cell_067",2.1332483291626,1,"type_3"
"spot_036","cell_120",1.87985610961914,1,"type_4"
"spot_038","cell_082",0.983187079429626,1,"type_2"
"spot_039","cell_059",1.4650319814682,1,"type_3"
"spot_040","cell_044",2.04342579841614,1,"type_4"
"spot_041","cell_029",2.30413055419922,1,"type_1"
"spot_043","cell_095",2.30462026596069,1,"type_3"
"spot_044","cell_112",2.39212107658386,3,"type_4"
"spot_045","cell_085",1.91366755962372,1,"type_1"
"spot_048","cell_008",2.05710816383362,1,"type_4"
"spot_049","cell_081",2.4502387046814,3,"type_1"
"spot_050","cell_094",2.60174870491028,1,"type_2"
"spot_051","cell_043",1.65517222881317,1,"type_3"
"spot_053","cell_149",1.84947907924652,1,"type_1"
"spot_055","cell_167",2.14111495018005,3,"type_3"
"spot_056","cell_036",2.23631906509399,2,"type_4"
"spot_057","cell_013",2.27701544761658,2,"type_1"
"spot_058","cell_122",1.92494511604309,1,"type_2"
