"id_st","x","y","orig.ident","nCount_Spatial","nFeature_Spatial","region"
"spot_001",0,0,"spot",434,113,"region_1"
"spot_002",10,0,"spot",427,109,"region_2"
"spot_003",20,0,"spot",443,106,"region_3"
"spot_004",30,0,"spot",446,106,"region_4"
"spot_005",40,0,"spot",455,114,"region_1"
"spot_006",50,0,"spot",430,111,"region_2"
"spot_007",60,0,"spot",381,104,"region_3"
"spot_008",70,0,"spot",429,110,"region_4"
"spot_009",80,0,"spot",447,112,"region_1"
"spot_010",90,0,"spot",454,117,"region_2"
"spot_011",0,10,"spot",437,115,"region_3"
"spot_012",10,10,"spot",462,106,"region_4"
"spot_013",20,10,"spot",425,109,"region_1"
"spot_014",30,10,"spot",413,109,"region_2"
"spot_015",40,10,"spot",390,112,"region_3"
"spot_016",50,10,"spot",407,111,"region_4"
"spot_017",60,10,"spot",446,115,"region_1"
"spot_018",70,10,"spot",445,113,"region_2"
"spot_019",80,10,"spot",421,105,"region_3"
"spot_020",90,10,"spot",434,112,"region_4"
"spot_021",0,20,"spot",432,106,"region_1"
"spot_022",10,20,"spot",449,111,"region_2"
"spot_023",20,20,"spot",419,110,"region_3"
"spot_024",30,20,"spot",434,106,"region_4"
"spot_025",40,20,"spot",453,114,"region_1"
"spot_026",50,20,"spot",415,109,"region_2"
"spot_027",60,20,"spot",449,109,"region_3"
"spot_028",70,20,"spot",449,108,"region_4"
"spot_029",80,20,"spot",428,109,"region_1"
"spot_030",90,20,"spot",415,110,"region_2"
"spot_031",0,30,"spot",453,110,"region_3"
"spot_032",10,30,"spot",404,104,"region_4"
"spot_033",20,30,"spot",438,113,"region_1"
"spot_034",30,30,"spot",418,104,"region_2"
"spot_035",40,30,"spot",393,107,"region_3"
"spot_036",50,30,"spot",414,110,"region_4"
"spot_037",60,30,"spot",448,112,"region_1"
"spot_038",70,30,"spot",439,113,"region_2"
"spot_039",80,30,"spot",441,109,"region_3"
"spot_040",90,30,"spot",441,105,"region_4"
"spot_041",0,40,"spot",453,114,"region_1"
"spot_042",10,40,"spot",474,110,"region_2"
"spot_043",20,40,"spot",453,112,"region_3"
"spot_044",30,40,"spot",429,109,"region_4"
"spot_045",40,40,"spot",479,114,"region_1"
"spot_046",50,40,"spot",466,110,"region_2"
"spot_047",60,40,"spot",431,108,"region_3"
"spot_048",70,40,"spot",430,109,"region_4"
"spot_049",80,40,"spot",476,115,"region_1"
"spot_050",90,40,"spot",438,106,"region_2"
"spot_051",0,50,"spot",434,115,"region_3"
"spot_052",10,50,"spot",434,107,"region_4"
"spot_053",20,50,"spot",458,111,"region_1"
"spot_054",30,50,"spot",440,112,"region_2"
"spot_055",40,50,"spot",416,107,"region_3"
"spot_056",50,50,"spot",454,106,"region_4"
"spot_057",60,50,"spot",509,116,"region_1"
"spot_058",70,50,"spot",403,110,"region_2"
"spot_059",80,50,"spot",443,110,"region_3"
"spot_060",90,50,"spot",451,109,"region_4"
"spot_061",0,0,"spot",435,113,"region_1"
"spot_062",10,0,"spot",429,110,"region_2"
"spot_063",20,0,"spot",398,110,"region_3"
"spot_064",30,0,"spot",449,110,"region_4"
"spot_065",40,0,"spot",414,111,"region_1"
"spot_066",50,0,"spot",437,112,"region_2"
"spot_067",60,0,"spot",414,106,"region_3"
"spot_068",70,0,"spot",444,107,"region_4"
"spot_069",80,0,"spot",412,110,"region_1"
"spot_070",90,0,"spot",403,108,"region_2"
"spot_071",0,10,"spot",423,108,"region_3"
"spot_072",10,10,"spot",447,110,"region_4"
"spot_073",20,10,"spot",482,112,"region_1"
"spot_074",30,10,"spot",453,113,"region_2"
"spot_075",40,10,"spot",443,110,"region_3"
"spot_076",50,10,"spot",432,108,"region_4"
"spot_077",60,10,"spot",426,108,"region_1"
"spot_078",70,10,"spot",397,110,"region_2"
"spot_079",80,10,"spot",454,108,"region_3"
"spot_080",90,10,"spot",435,111,"region_4"
"spot_081",0,20,"spot",468,111,"region_1"
"spot_082",10,20,"spot",436,108,"region_2"
"spot_083",20,20,"spot",439,107,"region_3"
"spot_084",30,20,"spot",448,111,"region_4"
"spot_085",40,20,"spot",457,109,"region_1"
"spot_086",50,20,"spot",399,109,"region_2"
"spot_087",60,20,"spot",439,105,"region_3"
"spot_088",70,20,"spot",419,109,"region_4"
"spot_089",80,20,"spot",455,112,"region_1"
"spot_090",90,20,"spot",467,106,"region_2"
"spot_091",0,30,"spot",442,113,"region_3"
"spot_092",10,30,"spot",449,109,"region_4"
"spot_093",20,30,"spot",445,108,"region_1"
"spot_094",30,30,"spot",450,107,"region_2"
"spot_095",40,30,"spot",442,105,"region_3"
"spot_096",50,30,"spot",439,110,"region_4"
"spot_097",60,30,"spot",441,111,"region_1"
"spot_098",70,30,"spot",429,108,"region_2"
"spot_099",80,30,"spot",440,111,"region_3"
"spot_100",90,30,"spot",453,109,"region_4"
"spot_101",0,40,"spot",457,110,"region_1"
