"id_st","x","y"
"spot_037",60,30
"spot_042",10,40
"spot_046",50,40
"spot_047",60,40
"spot_052",10,50
"spot_054",30,50
"spot_061",0,0
"spot_071",0,10
"spot_078",70,10
"spot_080",90,10
"spot_082",10,20
"spot_083",20,20
"spot_084",30,20
"spot_089",80,20
"spot_091",0,30
"spot_092",10,30
"spot_094",30,30
"spot_097",60,30
"spot_098",70,30
"spot_099",80,30
"spot_100",90,30
"spot_103",20,40
"spot_104",30,40
"spot_105",40,40
"spot_109",80,40
"spot_112",10,50
"spot_113",20,50
"spot_115",40,50
"spot_117",60,50
"spot_118",70,50
"spot_123",20,0
"spot_125",40,0
"spot_127",60,0
"spot_128",70,0
"spot_131",0,10
"spot_135",40,10
"spot_136",50,10
"spot_137",60,10
"spot_138",70,10
"spot_140",90,10
"spot_142",10,20
"spot_143",20,20
"spot_144",30,20
"spot_147",60,20
"spot_148",70,20
"spot_149",80,20
"spot_150",90,20
